Platform,Year_of_Release,Genre,Critic_Score,Critic_Count,User_Score,User_Count,Rating
26,,0,74.0,17.0,7.9,22.0,2
26,,0,78.0,22.0,6.6,28.0,2
19,,0,73.0,5.0,7.4,10.0,2
0,,0,,,,,8
26,,0,76.0,8.0,7.8,13.0,2
28,,0,77.0,35.0,7.9,39.0,2
17,,0,78.0,59.0,8.0,177.0,5
17,,0,76.0,27.0,8.3,48.0,2
28,,0,61.0,48.0,7.4,113.0,5
17,,0,63.0,33.0,7.0,100.0,5
6,,0,66.0,7.0,6.8,5.0,1
4,,0,69.0,4.0,,,2
26,,0,35.0,12.0,6.8,6.0,2
0,,0,,,,,8
0,,0,,,,,8
28,,0,71.0,72.0,7.2,63.0,7
2,,0,71.0,7.0,6.5,11.0,2
17,,0,70.0,47.0,7.6,43.0,7
19,,0,28.0,4.0,4.1,7.0,2
13,,0,86.0,18.0,8.5,3552.0,5
0,,0,,,,,8
7,,0,71.0,17.0,,,7
0,,0,,,,,8
19,,0,,,,,2
13,,0,80.0,5.0,8.5,44.0,2
17,,0,,,,,8
4,,0,,,,,1
28,,0,,,,,8
26,,0,,,,,8
26,,0,,,,,8
4,,0,44.0,26.0,,,1
4,,0,48.0,11.0,6.1,10.0,7
26,,0,57.0,16.0,6.0,6.0,7
4,,0,,,,,8
0,,1,,,,,8
4,,1,66.0,5.0,,,7
13,,2,91.0,23.0,8.0,352.0,7
19,,2,,,,,7
26,,3,80.0,21.0,6.3,37.0,7
5,,4,,,,,8
6,,4,69.0,7.0,,,1
6,,4,75.0,27.0,8.0,4.0,1
0,,5,,,,,8
0,,5,,,,,8
6,,5,83.0,22.0,9.5,4.0,1
26,,5,,,,,1
28,,6,68.0,61.0,6.4,87.0,7
17,,6,70.0,43.0,6.1,44.0,7
0,,6,,,,,8
13,,6,72.0,19.0,5.7,253.0,7
2,,6,,,,,1
28,,6,46.0,7.0,7.6,5.0,8
26,,6,54.0,4.0,,,1
16,,7,,,,,8
10,,7,,,,,8
20,,7,78.0,28.0,7.6,116.0,7
4,,7,,,,,1
4,,7,,,,,8
17,,7,,,,,8
0,,8,,,,,8
0,,8,,,,,8
28,,8,69.0,79.0,7.3,86.0,5
29,,8,89.0,84.0,8.9,85.0,5
13,,8,88.0,36.0,8.0,1247.0,5
26,,8,72.0,8.0,,,2
2,,8,54.0,24.0,6.3,29.0,1
26,,8,,,,,8
